"","SPECIES","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREY","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREY"
"206","Loxia pytyopsittacus",0,195,0,0,0,348,0,0
"207","Lullula arborea",0,15271,0,0,0,17171,0,0
"208","Luscinia luscinia",0,275,0,0,0,368,0,0
"209","Lynx lynx",2789,0,0,0,3233,0,1,0
"210","Martes foina",11238,47,507,0,13739,83,600,0
"211","Mergellus albellus",0,443,0,0,0,549,0,0
"212","Mergus merganser",171,81,0,663,195,135,0,726
"213","Micromys minutus",0,1066,0,0,0,1476,0,0
"214","Microtus arvalis",0,2118,0,0,0,2801,0,0
"215","Microtus levis",0,227,0,0,0,310,0,0
"216","Microtus subterraneus",0,7176,0,0,0,9961,0,0
"217","Milvus migrans",9021,84,105,0,12223,120,117,0
"218","Motacilla citreola",0,74,0,0,0,136,0,0
"219","Motacilla flava",0,2629,0,0,0,3943,0,0
"220","Mustela putorius",4278,37,0,0,4716,69,0,0
"221","Myotis brandtii",0,56,0,0,0,96,0,0
"222","Myotis dasycneme",0,317,0,0,0,367,0,0
"223","Myotis mystacinus",0,3629,0,0,0,3949,0,0
"224","Nucifraga caryocatactes",2520,48,3,0,2925,73,3,0
"225","Nyctalus noctula",0,12315,0,0,0,13898,0,0
"226","Oriolus oriolus",0,153,0,0,0,254,0,0
"227","Otus scops",12106,1736,0,0,13890,2015,0,0
"228","Pernis apivorus",1029,32,0,0,1175,53,0,0
"229","Phoenicurus ochruros",0,1274,0,0,0,1800,0,0
"230","Phylloscopus trochiloides",0,222,0,0,0,315,0,0
"231","Picoides tridactylus",0,140,0,0,0,226,0,0
"232","Picus canus",0,507,0,0,0,749,0,0
"233","Picus viridis",0,326,0,0,0,454,0,0
"234","Pipistrellus nathusii",0,705,0,0,0,1027,0,0
"235","Pteromys volans",0,19,0,0,0,24,0,0
"236","Remiz pendulinus",0,1434,0,0,0,1815,0,0
"237","Serinus serinus",0,1950,0,0,0,2917,0,0
"238","Sicista betulina",0,4401,0,0,0,5403,0,0
"239","Sitta europaea",0,295,0,0,0,403,0,0
"240","Sorex caecutiens",0,262,0,0,0,510,0,0
"241","Streptopelia turtur",0,1322,0,0,0,1761,0,0
"242","Strix uralensis",1103,1,1,0,1304,1,1,0
"243","Sus scrofa",5755,5,0,0,6363,8,0,0
"244","Sylvia nisoria",0,117,0,0,0,185,0,0
"245","Tringa ochropus",0,361,0,0,0,612,0,0
"246","Upupa epops",0,398,0,0,0,573,0,0
"247","Ursus arctos",576,0,0,0,640,0,0,0
"248","Xenus cinereus",0,11,0,0,0,11,0,0
"249","Anser albifrons",0,8,0,0,0,13,0,0
"250","Anser fabalis",0,36,0,0,0,61,0,0
"251","Branta leucopsis",0,16,0,0,0,23,0,0
"252","Calcarius lapponicus",0,926,0,0,0,1093,0,0
"253","Calidris minuta",0,43,0,0,0,43,0,0
"254","Cygnus columbianus",0,16,0,0,0,21,0,0
"255","Dicrostonyx torquatus",0,0,0,0,0,0,0,0
"256","Lemmus sibiricus",0,0,0,0,0,0,0,0
"257","Pagophila eburnea",0,0,0,0,0,0,0,0
"258","Phalaropus fulicarius",0,0,0,0,0,0,0,0
"259","Rangifer tarandus",0,1,0,0,0,1,0,0
"260","Somateria spectabilis",0,0,0,0,0,0,0,0
"261","Stercorarius longicaudus",7,0,0,0,10,0,0,0
"262","Ursus maritimus",0,0,0,0,0,0,0,0
"263","Aegypius monachus",0,0,0,0,0,0,0,0
"264","Alectoris rufa",0,289,0,0,0,395,0,0
"265","Anthus spinoletta",0,2225,0,0,0,3262,0,0
"266","Ardea purpurea",3452,24,0,0,3857,43,0,0
"267","Arvicola sapidus",0,644,0,0,0,936,0,0
"268","Arvicola scherman",0,575,0,0,0,816,0,0
"269","Barbastella barbastellus",0,511,0,0,0,844,0,0
"270","Certhia brachydactyla",0,1448,0,0,0,1833,0,0
"271","Cettia cetti",0,667,0,0,0,1011,0,0
"272","Chionomys nivalis",0,12425,0,0,0,12609,0,0
"273","Circus pygargus",8096,282,0,0,10232,414,0,0
"274","Cisticola juncidis",0,581,0,0,0,852,0,0
"275","Clamator glandarius",0,69,0,0,0,83,0,0
"276","Crocidura russula",0,1122,0,0,0,1577,0,0
"277","Crocidura suaveolens",0,10631,0,0,0,12343,0,0
"278","Egretta garzetta",382,64,0,0,450,114,0,0
"279","Emberiza cia",0,518,0,0,0,787,0,0
"280","Emberiza cirlus",0,5337,0,0,0,6664,0,0
"281","Eptesicus serotinus",0,4206,0,0,0,4622,0,0
"282","Galemys pyrenaicus",0,938,0,0,0,1003,0,0
"283","Genetta genetta",6414,53,55,0,8564,91,57,0
"284","Glis glis",0,590,0,0,0,1051,0,0
"285","Gypaetus barbatus",0,0,0,0,0,0,0,0
"286","Hieraaetus pennatus",7071,0,0,0,8452,0,0,0
"287","Himantopus himantopus",0,2917,0,0,0,3201,0,0
"288","Hippolais polyglotta",0,1239,0,0,0,1772,0,0
"289","Lanius meridionalis",1346,1,0,0,1652,4,0,0
"290","Lanius senator",9622,481,0,0,12800,683,0,0
"291","Luscinia megarhynchos",0,1216,0,0,0,1753,0,0
"292","Marmota marmota",0,47,0,0,0,100,0,0
"293","Merops apiaster",0,155,0,0,0,237,0,0
"294","Microtus duodecimcostatus",0,4247,0,0,0,4900,0,0
"295","Microtus gerbei",0,994,0,0,0,1650,0,0
"296","Microtus lusitanicus",0,212,0,0,0,260,0,0
"297","Miniopterus schreibersii",0,1571,0,0,0,1776,0,0
"298","Monticola saxatilis",0,110,0,0,0,191,0,0
"299","Montifringilla nivalis",0,107,0,0,0,140,0,0
"300","Myotis alcathoe",0,32,0,0,0,49,0,0
"301","Myotis bechsteinii",0,1382,0,0,0,1682,0,0
"302","Myotis blythii",0,665,0,0,0,832,0,0
"303","Myotis emarginatus",0,675,0,0,0,728,0,0
"304","Myotis myotis",0,1424,0,0,0,2086,0,0
"305","Neomys anomalus",0,6388,0,0,0,7695,0,0
"306","Nyctalus lasiopterus",670,191,0,0,997,285,0,0
"307","Nyctalus leisleri",0,3294,0,0,0,3617,0,0
"308","Nycticorax nycticorax",4071,115,0,0,4637,184,0,0
"309","Oenanthe leucura",0,28,0,0,0,51,0,0
"310","Phylloscopus bonelli",0,466,0,0,0,632,0,0
"311","Pipistrellus kuhlii",0,2997,0,0,0,3269,0,0
"312","Plecotus austriacus",0,2384,0,0,0,2714,0,0
"313","Prunella collaris",0,465,0,0,0,774,0,0
"314","Pyrrhocorax graculus",1504,25,0,0,1648,30,0,0
"315","Pyrrhocorax pyrrhocorax",1255,6,0,0,1411,11,0,0
"316","Rhinolophus euryale",0,2180,0,0,0,2200,0,0
"317","Rhinolophus ferrumequinum",0,1257,0,0,0,1753,0,0
"318","Rhinolophus hipposideros",0,1380,0,0,0,1665,0,0
"319","Rupicapra pyrenaica",0,22,0,0,0,24,0,0
"320","Sorex coronatus",0,13196,0,0,0,13224,0,0
"321","Suncus etruscus",0,6316,0,0,0,6969,0,0
"322","Sylvia undata",0,410,0,0,0,534,0,0
"323","Tadarida teniotis",0,1457,0,0,0,1632,0,0
"324","Tichodroma muraria",0,203,0,0,0,296,0,0
"325","Alectoris chukar",0,13,0,0,0,17,0,0
"326","Apodemus mystacinus",0,0,0,0,0,0,0,0
"327","Apodemus witherbyi",0,2,0,0,0,2,0,0
"328","Aquila heliaca",715,0,7,0,820,0,8,0
"329","Ardeola ralloides",425,350,0,595,474,424,0,675
"330","Burhinus oedicnemus",895,234,0,0,1253,387,0,0
"331","Buteo rufinus",1184,22,0,0,1548,29,0,0
"332","Calandrella brachydactyla",0,536,0,0,0,750,0,0
"333","Canis aureus",871,0,4,0,1020,0,8,0
"334","Carpodacus rubicilla",0,0,0,0,0,0,0,0
"335","Charadrius alexandrinus",0,7,0,0,0,21,0,0
"336","Chlidonias leucopterus",0,9,0,0,0,15,0,0
"337","Cricetulus migratorius",0,297,0,0,0,629,0,0
"338","Crocidura leucodon",0,1844,0,0,0,2807,0,0
"339","Dryomys nitedula",0,3553,0,0,0,4258,0,0
"340","Falco cherrug",826,0,67,0,961,0,81,0
"341","Falco naumanni",254,28,0,0,399,64,0,0
"342","Ficedula semitorquata",0,5,0,0,0,12,0,0
"343","Lanius minor",749,356,0,0,895,446,0,0
"344","Melanocorypha calandra",0,365,0,0,0,475,0,0
"345","Mesocricetus raddei",0,0,0,0,0,0,0,0
"346","Monticola solitarius",0,68,0,0,0,104,0,0
"347","Mustela eversmanii",891,3,0,0,1083,7,0,0
"348","Myotis aurascens",0,57,0,0,0,70,0,0
"349","Oenanthe hispanica",0,2249,0,0,0,2629,0,0
"350","Oenanthe isabellina",0,1,0,0,0,1,0,0
"351","Petronia petronia",0,553,0,0,0,818,0,0
"352","Phylloscopus sindianus",0,0,0,0,0,0,0,0
"353","Plecotus macrobullaris",0,1,0,0,0,4,0,0
"354","Rhinolophus mehelyi",0,14,0,0,0,25,0,0
"355","Rupicapra rupicapra",0,92,0,0,0,114,0,0
"356","Serinus pusillus",0,0,0,0,0,0,0,0
"357","Sicista strandi",0,170,0,0,0,272,0,0
"358","Tadorna ferruginea",0,4,0,0,0,6,0,0
"359","Talpa levantis",0,0,0,0,0,1,0,0
"360","Tetraogallus caucasicus",0,0,0,0,0,0,0,0
"361","Vormela peregusna",275,0,0,0,308,0,0,0
"362","Acrocephalus paludicola",0,4,0,0,0,4,0,0
"363","Aythya nyroca",0,101,0,0,0,151,0,0
"364","Chlidonias hybrida",0,9,0,0,0,29,0,0
"365","Locustella luscinioides",0,350,0,0,0,504,0,0
"366","Microtus oeconomus",0,342,0,0,0,476,0,0
"367","Muscardinus avellanarius",0,5925,0,0,0,7235,0,0
"368","Panurus biarmicus",0,200,0,0,0,387,0,0
"369","Accipiter brevipes",37,1,3,0,53,1,5,0
"370","Allactaga major",0,0,0,0,0,0,0,0
"371","Anthropoides virgo",0,0,0,0,0,0,0,0
"372","Capreolus pygargus",0,0,0,0,0,0,0,0
"373","Circus macrourus",821,8,0,0,976,8,0,0
"374","Cricetus cricetus",0,196,0,0,0,259,0,0
"375","Cuculus saturatus",0,0,0,0,0,0,0,0
"376","Dendrocopos syriacus",111,10,0,551,141,10,0,702
"377","Desmana moschata",0,10,0,0,0,13,0,0
"378","Emberiza aureola",0,86,0,0,0,89,0,0
"379","Ficedula albicollis",0,400,0,0,0,545,0,0
"380","Glareola nordmanni",0,0,0,0,0,0,0,0
"381","Lagurus lagurus",0,2,0,0,0,3,0,0
"382","Mustela lutreola",145,0,0,0,159,0,0,0
"383","Oenanthe pleschanka",0,1,0,0,0,1,0,0
"384","Otis tarda",603,12,0,0,734,17,0,0
"385","Pygeretmus pumilio",0,563,0,0,0,760,0,0
"386","Sicista subtilis",0,0,0,0,0,0,0,0
"387","Spalax microphthalmus",0,1235,0,0,0,1267,0,0
"388","Spermophilus pygmaeus",0,2,0,0,0,2,0,0
"389","Spermophilus suslicus",0,329,0,0,0,395,0,0
"390","Tetrax tetrax",0,792,0,0,0,904,0,0
"391","Tringa stagnatilis",0,41,0,0,0,67,0,0
"392","Ellobius talpinus",0,3760,0,0,0,4222,0,0
"393","Myodes rufocanus",0,1,0,0,0,3,0,0
"394","Myodes rutilus",0,0,0,0,0,0,0,0
"395","Oxyura leucocephala",0,10,0,0,0,11,0,0
"396","Perisoreus infaustus",146,0,0,0,184,0,0,0
"397","Pinicola enucleator",0,31,0,0,0,40,0,0
"398","Prunella atrogularis",0,0,0,0,0,0,0,0
"399","Recurvirostra avosetta",0,19,0,0,0,34,0,0
"400","Sorex isodon",0,86,0,0,0,116,0,0
"401","Sorex minutissimus",0,137,0,0,0,190,0,0
"402","Sorex tundrensis",0,96,0,0,0,96,0,0
"403","Spermophilus major",0,2503,0,0,0,2503,0,0
"404","Surnia ulula",260,2,1,0,332,2,1,0
"405","Tarsiger cyanurus",0,0,0,0,0,0,0,0
"406","Calidris temminckii",0,0,0,0,0,2,0,0
"407","Falco rusticolus",202,0,0,0,278,1,0,0
"408","Gulo gulo",229,0,0,0,255,0,0,0
"409","Lemmus lemmus",0,1,0,0,0,2,0,0
"410","Anser erythropus",0,20,0,0,0,29,0,0
"411","Emberiza pusilla",0,0,0,0,0,0,0,0
"412","Emberiza rustica",0,50,0,0,0,57,0,0
"413","Loxia leucoptera",0,0,0,0,0,23,0,0
"414","Mus musculus",0,0,0,0,0,0,0,0
"415","Myopus schisticolor",0,13,0,0,0,23,0,0
"416","Phylloscopus borealis",0,16,0,0,0,33,0,0
"417","Strix nebulosa",645,2,3,0,779,2,3,0
"418","Tringa erythropus",0,219,0,0,0,311,0,0
"419","Alectoris graeca",0,55,0,0,0,79,0,0
"420","Emberiza melanocephala",0,87,0,0,0,147,0,0
"421","Acrocephalus agricola",0,0,0,0,0,0,0,0
"422","Acrocephalus melanopogon",0,48,0,0,0,65,0,0
"423","Allactaga elater",0,0,0,0,0,0,0,0
"424","Aquila nipalensis",134,0,0,0,153,0,0,0
"425","Bubulcus ibis",1014,34,0,0,1181,56,0,0
"426","Emberiza bruniceps",0,0,0,0,0,0,0,0
"427","Felis chaus",8,0,0,0,12,0,0,0
"428","Gelochelidon nilotica",212,231,0,0,239,279,0,0
"429","Glareola pratincola",0,18,0,0,0,30,0,0
"430","Hemiechinus auritus",9,0,0,0,11,0,0,0
"431","Meriones meridianus",0,0,0,0,0,0,0,0
"432","Meriones tamariscinus",0,0,0,0,0,0,0,0
"433","Microtus socialis",0,2,0,0,0,4,0,0
"434","Netta rufina",0,47,0,0,0,55,0,0
"435","Pelecanus crispus",0,0,0,0,0,0,0,0
"436","Platalea leucorodia",0,3,0,0,0,4,0,0
"437","Plegadis falcinellus",0,0,0,0,0,0,0,0
"438","Porphyrio porphyrio",0,1,0,0,0,3,0,0
"439","Stylodipus telum",0,0,0,0,0,15,0,0
"440","Sylvia mystacea",0,0,0,0,0,0,0,0
"441","Vulpes corsac",195,0,0,0,223,0,0,0
"442","Mus spicilegus",0,16,0,0,0,32,0,0
"443","Spermophilus citellus",0,78,0,0,0,111,0,0
"444","Marmota bobak",0,0,0,0,0,0,0,0
"445","Spermophilus fulvus",0,0,0,0,0,0,0,0
"446","Apus pallidus",0,7,0,0,0,8,0,0
"447","Falco biarmicus",378,4,105,0,541,6,125,0
"448","Hystrix cristata",0,0,0,0,0,1,0,0
"449","Microtus savii",0,391,0,0,0,512,0,0
"450","Myotis capaccinii",0,199,0,0,0,265,0,0
"451","Passer italiae",0,186,0,0,0,251,0,0
"452","Sorex antinorii",0,3885,0,0,0,3993,0,0
"453","Sorex samniticus",0,2152,0,0,0,2152,0,0
"454","Sylvia cantillans",0,370,0,0,0,481,0,0
"455","Sylvia conspicillata",0,214,0,0,0,293,0,0
"456","Sylvia hortensis",0,327,0,0,0,416,0,0
"457","Sylvia melanocephala",0,483,0,0,0,654,0,0
"458","Talpa caeca",0,1859,0,0,0,2064,0,0
"459","Talpa romana",0,1128,0,0,0,1128,0,0
"460","Sicista severtzovi",0,37,0,0,0,56,0,0
"461","Pelecanus onocrotalus",0,0,0,0,0,0,0,0
"462","Saiga tatarica",0,0,0,0,0,0,0,0
"463","Falco eleonorae",4,0,0,0,5,0,0,0
"464","Anthus cervinus",0,276,0,0,0,276,0,0
"465","Apodemus epimelas",0,71,0,0,0,81,0,0
"466","Cercotrichas galactotes",0,175,0,0,0,337,0,0
"467","Emberiza caesia",0,24,0,0,0,30,0,0
"468","Hippolais olivetorum",0,6,0,0,0,9,0,0
"469","Microtus guentheri",0,62,0,0,0,81,0,0
"470","Microtus thomasi",0,82,0,0,0,102,0,0
"471","Mus macedonicus",0,36,0,0,0,52,0,0
"472","Passer hispaniolensis",0,76,0,0,0,123,0,0
"473","Plecotus kolombatovici",0,3,0,0,0,11,0,0
"474","Rhinolophus blasii",0,508,0,0,0,514,0,0
"475","Sitta neumayer",0,3,0,0,0,3,0,0
"476","Locustella lanceolata",0,0,0,0,0,0,0,0
"477","Sorex alpinus",0,9991,0,0,0,10092,0,0
"478","Apodemus alpicola",0,51,0,0,0,58,0,0
"479","Capra ibex",0,26,0,0,0,26,0,0
"480","Calidris alba",0,15,0,0,0,21,0,0
"481","Polysticta stelleri",0,0,0,0,0,0,0,0
"482","Spalax graecus",0,135,0,0,0,135,0,0
"483","Caprimulgus ruficollis",0,12,0,0,0,19,0,0
"484","Elanus caeruleus",631,24,0,0,810,32,0,0
"485","Galerida theklae",0,123,0,0,0,170,0,0
"486","Herpestes ichneumon",394,1,2,0,476,2,6,0
"487","Lepus granatensis",0,159,0,0,0,182,0,0
"488","Microtus cabrerae",0,184,0,0,0,223,0,0
"489","Mus spretus",0,169,0,0,0,246,0,0
"490","Sturnus unicolor",0,325,0,0,0,481,0,0
"491","Talpa occidentalis",0,2831,0,0,0,3448,0,0
"492","Branta bernicla",0,22,0,0,0,41,0,0
"493","Anthus hodgsoni",0,0,0,0,0,0,0,0
"494","Emberiza leucocephalos",0,0,0,0,0,0,0,0
"495","Martes zibellina",0,0,0,0,0,0,0,0
"496","Mustela sibirica",0,0,0,0,0,0,0,0
"497","Phylloscopus inornatus",0,0,0,0,0,0,0,0
"498","Lepus corsicanus",0,24,0,0,0,26,0,0
"499","Microtus brachycercus",0,122,0,0,0,137,0,0
"500","Microtus multiplex",0,956,0,0,0,1127,0,0
"501","Capra pyrenaica",0,2,0,0,0,4,0,0
"502","Lepus castroviejoi",0,10,0,0,0,11,0,0
"503","Sorex granarius",0,954,0,0,0,1114,0,0
"504","Dinaromys bogdanovi",0,56,0,0,0,58,0,0
"505","Microtus felteni",0,18,0,0,0,26,0,0
"506","Talpa stankovici",0,516,0,0,0,550,0,0
"507","Marmaronetta angustirostris",0,0,0,0,0,0,0,0
"508","Gallinago stenura",0,0,0,0,0,0,0,0
"509","Microtus gregalis",0,0,0,0,0,0,0,0
"510","Prunella montanella",0,0,0,0,0,0,0,0
"511","Spalax zemni",0,255,0,0,0,255,0,0
"512","Allocricetulus eversmanni",0,0,0,0,0,0,0,0
"513","Alectoris barbara",0,0,0,0,0,0,0,0
"514","Aquila adalberti",63,0,3,0,113,0,2,0
"515","Fulica cristata",6,52,0,0,6,52,0,0
"516","Spalax arenarius",0,12,0,0,0,12,0,0
"517","Vanellus gregarius",0,0,0,0,0,0,0,0
"518","Myotis punicus",0,0,0,0,0,0,0,0
"519","Sitta whiteheadi",0,0,0,0,0,0,0,0
"520","Sylvia sarda",0,1,0,0,0,1,0,0
"521","Microtus middendorffii",0,0,0,0,0,0,0,0
"522","Chersophilus duponti",0,11,0,0,0,19,0,0
"523","Lanius nubicus",12,30,0,0,12,30,0,0
"524","Emberiza pallasi",0,0,0,0,0,0,0,0
"525","Crocidura pachyura",0,4,0,0,0,24,0,0
"526","Lepus capensis",0,0,0,0,0,0,0,0
"527","Plecotus sardus",0,0,0,0,0,0,0,0
"528","Crocidura sicula",0,10,0,0,0,14,0,0
"529","Mesocricetus newtoni",0,0,0,0,0,0,0,0
"530","Eptesicus bottae",0,0,0,0,0,0,0,0
"531","Erinaceus concolor",0,0,0,0,0,0,0,0
"532","Meriones tristrami",0,0,0,0,0,0,0,0
"533","Oenanthe finschii",0,0,0,0,0,0,0,0
"534","Sciurus anomalus",0,0,0,0,0,0,0,0
"535","Dipus sagitta",0,0,0,0,0,19,0,0
"536","Bucanetes githagineus",0,4,0,0,0,5,0,0
"537","Sitta krueperi",0,0,0,0,0,0,0,0
"538","Microtus tatricus",0,4,0,0,0,6,0,0
"539","Diplomesodon pulchellum",0,0,0,0,0,0,0,0
"540","Spalax giganteus",0,0,0,0,0,0,0,0
"541","Hippolais languida",0,0,0,0,0,0,0,0
"542","Irania gutturalis",0,0,0,0,0,0,0,0
"543","Rousettus aegyptiacus",0,0,0,0,0,0,0,0
"544","Acomys minous",0,0,0,0,0,0,0,0
"545","Crocidura zimmermanni",0,0,0,0,0,0,0,0
"546","Myomimus roachi",0,0,0,0,0,0,0,0
"547","Microtus bavaricus",0,0,0,0,0,0,0,0
"548","Lynx pardinus",3,0,0,0,3,0,0,0
"549","Emberiza cineracea",0,0,0,0,0,0,0,0
"550","Bison bonasus",0,0,0,0,0,0,0,0
"551","Charadrius leschenaultii",0,0,0,0,0,0,0,0
"552","Atelerix algirus",0,0,0,0,0,0,0,0
"553","Tetraogallus caspius",0,0,0,0,0,0,0,0
