"","SPECIES","NUMBER OF SQUARE GRIDS AT START","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER START TO PRIMARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY TO SECONDARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER SECONDARY TO PRIMARY FUTURE","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY FUTURE TO SECONDARY FUTURE"
"112","Plecotus auritus",2948,2926,2926,2910,2910
"113","Plectrophenax nivalis",1934,1912,1912,1900,1900
"114","Pluvialis apricaria",1834,1812,1812,1801,1801
"115","Pluvialis squatarola",590,587,587,583,583
"116","Porzana porzana",2826,2816,2816,2810,2810
"117","Prunella modularis",3807,3807,3807,3807,3807
"118","Pyrrhula pyrrhula",4121,4120,4120,4120,4120
"119","Rallus aquaticus",3272,3262,3262,3253,3253
"120","Regulus regulus",3834,3783,3783,3752,3752
"121","Riparia riparia",4071,4025,4025,3997,3997
"122","Saxicola rubetra",3630,3471,3471,3403,3403
"123","Sciurus vulgaris",3585,3583,3583,3580,3580
"124","Scolopax rusticola",3725,3724,3724,3722,3722
"125","Somateria mollissima",647,647,647,647,647
"126","Sorex araneus",3414,2357,2357,2246,2246
"127","Sorex minutus",3939,2250,2250,2118,2118
"128","Stercorarius parasiticus",571,570,570,570,570
"129","Stercorarius pomarinus",278,276,276,275,275
"130","Sterna hirundo",3207,3196,3196,3188,3188
"131","Sterna paradisaea",918,915,915,913,913
"132","Streptopelia decaocto",3250,3249,3249,3248,3248
"133","Strix aluco",3475,3473,3473,3472,3472
"134","Sturnus vulgaris",4317,4317,4317,4317,4317
"135","Sylvia atricapilla",3779,3776,3776,3773,3773
"136","Sylvia borin",3600,3600,3600,3600,3600
"137","Sylvia communis",3907,3855,3855,3822,3822
"138","Sylvia curruca",3337,3226,3226,3173,3173
"139","Tadorna tadorna",1653,1652,1652,1652,1652
"140","Talpa europaea",2705,1815,1815,1720,1720
"141","Tetrao urogallus",2268,2262,2262,2259,2259
"142","Tringa glareola",2209,2208,2208,2206,2206
"143","Tringa nebularia",1801,1800,1800,1799,1799
"144","Tringa totanus",3763,3763,3763,3763,3763
"145","Troglodytes troglodytes",3816,3639,3639,3561,3561
"146","Turdus iliacus",3987,3987,3987,3987,3987
"147","Turdus merula",3774,3774,3774,3774,3774
"148","Turdus philomelos",4326,4325,4325,4325,4325
"149","Turdus pilaris",4389,4389,4389,4388,4388
"150","Turdus torquatus",1007,998,998,991,991
"151","Turdus viscivorus",3819,3819,3819,3819,3819
"152","Tyto alba",1855,1855,1855,1855,1855
"153","Vanellus vanellus",4198,4188,4188,4177,4177
"154","Vulpes vulpes",4371,4368,4368,4367,4367
"155","Accipiter gentilis",3863,3844,3844,3833,3833
"156","Acrocephalus arundinaceus",2826,2789,2789,2766,2766
"157","Acrocephalus dumetorum",1045,1041,1041,1041,1041
"158","Acrocephalus palustris",2564,2480,2480,2441,2441
"159","Acrocephalus scirpaceus",2828,2818,2818,2813,2813
"160","Aegolius funereus",2279,2279,2279,2278,2278
"161","Alces alces",1993,1986,1986,1984,1984
"162","Anas acuta",2998,2998,2998,2998,2998
"163","Anthus campestris",2153,2107,2107,2081,2081
"164","Apodemus agrarius",2187,2187,2187,2187,2187
"165","Apodemus flavicollis",2587,2587,2587,2587,2587
"166","Apodemus uralensis",1547,1547,1547,1547,1547
"167","Athene noctua",2835,2825,2825,2815,2815
"168","Bombycilla garrulus",3126,3121,3121,3118,3118
"169","Bonasa bonasia",2303,1180,1180,1104,1104
"170","Botaurus stellaris",2559,2448,2448,2405,2405
"171","Bubo bubo",3432,3432,3432,3432,3432
"172","Buteo lagopus",2504,2477,2477,2457,2457
"173","Canis lupus",2881,2880,2880,2879,2879
"174","Caprimulgus europaeus",3580,3478,3478,3428,3428
"175","Carpodacus erythrinus",2415,2393,2393,2376,2376
"176","Castor fiber",1703,1683,1683,1666,1666
"177","Charadrius dubius",3752,3680,3680,3638,3638
"178","Chlidonias niger",2078,2066,2066,2054,2054
"179","Circaetus gallicus",1876,1255,1255,1168,1168
"180","Circus aeruginosus",3249,3222,3222,3204,3204
"181","Coccothraustes coccothraustes",3340,3303,3303,3281,3281
"182","Columba oenas",3380,3365,3365,3349,3349
"183","Coracias garrulus",2010,1996,1390,1992,1315
"184","Crex crex",2863,2760,2760,2720,2720
"185","Dendrocopos leucotos",1907,1906,1906,1906,1906
"186","Dryocopus martius",3090,3083,3083,3078,3078
"187","Eliomys quercinus",1291,741,737,695,687
"188","Emberiza hortulana",2889,2673,2673,2620,2620
"189","Eptesicus nilssonii",2482,2320,2320,2284,2284
"190","Erinaceus roumanicus",2001,1997,1997,1996,1996
"191","Falco subbuteo",3652,3454,3454,3370,3370
"192","Falco vespertinus",1914,1913,1913,1913,1913
"193","Ficedula hypoleuca",2929,2926,2926,2924,2924
"194","Ficedula parva",2519,2514,2514,2504,2504
"195","Galerida cristata",2245,2236,2236,2228,2228
"196","Gallinago media",1828,1827,1827,1827,1827
"197","Garrulus glandarius",4098,4097,4097,4095,4095
"198","Glaucidium passerinum",1876,1659,1659,1601,1601
"199","Grus grus",2479,2478,2478,2478,2478
"200","Hippolais icterina",2608,2562,2562,2533,2533
"201","Ixobrychus minutus",2636,2079,2079,2010,2010
"202","Jynx torquilla",3649,3587,3587,3540,3540
"203","Lanius collurio",3363,3348,3348,3338,3338
"204","Limosa limosa",2490,2481,2481,2475,2475
"205","Locustella fluviatilis",2175,2072,2072,2044,2044
"206","Loxia pytyopsittacus",1498,1491,1491,1484,1484
"207","Lullula arborea",2924,2313,2313,2236,2236
"208","Luscinia luscinia",2001,1989,1989,1986,1986
"209","Lynx lynx",2187,2183,2183,2178,2178
"210","Martes foina",2352,2332,2332,2319,2319
"211","Mergellus albellus",1708,1608,1608,1587,1587
"212","Mergus merganser",2156,2140,1985,2128,1961
"213","Micromys minutus",3112,3112,3112,3112,3112
"214","Microtus arvalis",2336,2336,2336,2336,2336
"215","Microtus levis",1341,1341,1341,1341,1341
"216","Microtus subterraneus",1345,1179,1179,1111,1111
"217","Milvus migrans",3004,2866,2866,2802,2802
"218","Motacilla citreola",1324,1322,1322,1319,1319
"219","Motacilla flava",4059,3978,3978,3928,3928
"220","Mustela putorius",2701,2700,2700,2699,2699
"221","Myotis brandtii",2487,2481,2481,2475,2475
"222","Myotis dasycneme",1665,1555,1555,1537,1537
"223","Myotis mystacinus",2163,1244,1244,1161,1161
"224","Nucifraga caryocatactes",1590,1586,1586,1583,1583
"225","Nyctalus noctula",2600,1797,1797,1695,1695
"226","Oriolus oriolus",3084,3064,3064,3050,3050
"227","Otus scops",2247,1976,1976,1938,1938
"228","Pernis apivorus",3313,3258,3257,3220,3219
"229","Phoenicurus ochruros",2430,2410,2410,2397,2397
"230","Phylloscopus trochiloides",1507,1496,1496,1491,1491
"231","Picoides tridactylus",2016,2011,2011,2004,2004
"232","Picus canus",2172,2127,2127,2100,2100
"233","Picus viridis",2499,2498,2498,2496,2496
"234","Pipistrellus nathusii",2714,2570,2570,2503,2503
"235","Pteromys volans",995,991,991,990,990
"236","Remiz pendulinus",2219,1976,1976,1913,1913
"237","Serinus serinus",1876,1835,1835,1807,1807
"238","Sicista betulina",1580,1332,1332,1278,1278
"239","Sitta europaea",3309,3306,3306,3303,3303
"240","Sorex caecutiens",1622,1616,1616,1609,1609
"241","Streptopelia turtur",3458,3421,3421,3398,3398
"242","Strix uralensis",1427,1427,1427,1427,1427
"243","Sus scrofa",2681,2681,2681,2681,2681
"244","Sylvia nisoria",2210,2209,2209,2206,2206
"245","Tringa ochropus",2830,2787,2787,2759,2759
"246","Upupa epops",2729,2725,2725,2718,2718
"247","Ursus arctos",1987,1982,1982,1980,1980
"248","Xenus cinereus",1311,1310,1310,1310,1310
"249","Anser albifrons",587,587,587,586,586
"250","Anser fabalis",1171,1161,1161,1153,1153
"251","Branta leucopsis",173,173,173,173,173
"252","Calcarius lapponicus",1156,1103,1103,1094,1094
"253","Calidris minuta",411,405,405,405,405
"254","Cygnus columbianus",355,343,343,338,338
"255","Dicrostonyx torquatus",207,207,207,207,207
"256","Lemmus sibiricus",222,222,222,222,222
"257","Pagophila eburnea",307,307,307,307,307
"258","Phalaropus fulicarius",50,50,50,50,50
"259","Rangifer tarandus",441,440,440,440,440
"260","Somateria spectabilis",265,265,265,265,265
"261","Stercorarius longicaudus",417,417,417,417,417
"262","Ursus maritimus",264,264,264,264,264
"263","Aegypius monachus",362,280,280,267,267
"264","Alectoris rufa",619,596,596,584,584
"265","Anthus spinoletta",1331,1260,1260,1219,1219
"266","Ardea purpurea",1360,1360,1360,1359,1359
"267","Arvicola sapidus",474,474,474,474,474
"268","Arvicola scherman",439,439,439,439,439
"269","Barbastella barbastellus",1765,1682,1682,1631,1631
"270","Certhia brachydactyla",1460,1153,1153,1064,1064
"271","Cettia cetti",1063,973,973,924,924
"272","Chionomys nivalis",399,38,38,32,32
"273","Circus pygargus",2146,2038,2038,1988,1988
"274","Cisticola juncidis",690,679,679,669,669
"275","Clamator glandarius",301,300,300,300,300
"276","Crocidura russula",682,669,669,661,661
"277","Crocidura suaveolens",1964,1618,1618,1562,1562
"278","Egretta garzetta",1112,1111,1111,1111,1111
"279","Emberiza cia",1003,1003,1003,997,997
"280","Emberiza cirlus",1038,821,821,767,767
"281","Eptesicus serotinus",2501,1874,1874,1810,1810
"282","Galemys pyrenaicus",111,20,20,14,14
"283","Genetta genetta",399,348,348,319,319
"284","Glis glis",1669,1623,1623,1589,1589
"285","Gypaetus barbatus",125,122,122,122,122
"286","Hieraaetus pennatus",1068,897,897,864,864
"287","Himantopus himantopus",1731,1223,1223,1180,1180
"288","Hippolais polyglotta",702,566,566,504,504
"289","Lanius meridionalis",331,331,331,331,331
"290","Lanius senator",877,739,739,682,682
"291","Luscinia megarhynchos",1715,1672,1672,1645,1645
"292","Marmota marmota",144,134,134,124,124
"293","Merops apiaster",1851,1775,1775,1739,1739
"294","Microtus duodecimcostatus",293,196,196,181,181
"295","Microtus gerbei",114,89,89,70,70
"296","Microtus lusitanicus",143,143,143,143,143
"297","Miniopterus schreibersii",1069,562,562,498,498
"298","Monticola saxatilis",786,775,775,767,767
"299","Montifringilla nivalis",259,259,259,258,258
"300","Myotis alcathoe",302,302,302,301,301
"301","Myotis bechsteinii",1298,923,923,839,839
"302","Myotis blythii",1166,1008,1008,968,968
"303","Myotis emarginatus",1344,822,822,783,783
"304","Myotis myotis",1518,1334,1334,1249,1249
"305","Neomys anomalus",1459,1125,1125,1055,1055
"306","Nyctalus lasiopterus",1414,1340,1340,1306,1306
"307","Nyctalus leisleri",2203,1595,1595,1535,1535
"308","Nycticorax nycticorax",1259,1259,1259,1259,1259
"309","Oenanthe leucura",182,182,182,181,181
"310","Phylloscopus bonelli",570,548,548,537,537
"311","Pipistrellus kuhlii",1747,1031,1031,956,956
"312","Plecotus austriacus",1417,957,957,894,894
"313","Prunella collaris",862,808,808,772,772
"314","Pyrrhocorax graculus",379,373,373,372,372
"315","Pyrrhocorax pyrrhocorax",494,493,493,492,492
"316","Rhinolophus euryale",914,107,107,99,99
"317","Rhinolophus ferrumequinum",1299,1102,1102,1024,1024
"318","Rhinolophus hipposideros",1583,1193,1193,1114,1114
"319","Rupicapra pyrenaica",29,14,14,13,13
"320","Sorex coronatus",442,21,21,20,20
"321","Suncus etruscus",620,411,411,390,390
"322","Sylvia undata",555,549,549,546,546
"323","Tadarida teniotis",822,521,521,484,484
"324","Tichodroma muraria",654,618,618,602,602
"325","Alectoris chukar",181,180,180,180,180
"326","Apodemus mystacinus",33,33,33,33,33
"327","Apodemus witherbyi",174,174,174,174,174
"328","Aquila heliaca",1172,1171,1171,1171,1171
"329","Ardeola ralloides",639,557,440,542,413
"330","Burhinus oedicnemus",1329,1268,1268,1230,1230
"331","Buteo rufinus",501,479,479,471,471
"332","Calandrella brachydactyla",1193,1184,1184,1179,1179
"333","Canis aureus",347,347,347,347,347
"334","Carpodacus rubicilla",25,25,25,25,25
"335","Charadrius alexandrinus",992,992,992,990,990
"336","Chlidonias leucopterus",1289,1286,1286,1284,1284
"337","Cricetulus migratorius",789,781,781,772,772
"338","Crocidura leucodon",1333,1291,1291,1260,1260
"339","Dryomys nitedula",1039,759,759,705,705
"340","Falco cherrug",1051,1051,1051,1051,1051
"341","Falco naumanni",1013,998,998,982,982
"342","Ficedula semitorquata",171,171,171,171,171
"343","Lanius minor",1718,1613,1613,1590,1590
"344","Melanocorypha calandra",1014,1008,1008,1007,1007
"345","Mesocricetus raddei",91,91,91,91,91
"346","Monticola solitarius",716,711,711,709,709
"347","Mustela eversmanii",1268,1268,1268,1267,1267
"348","Myotis aurascens",703,620,620,591,591
"349","Oenanthe hispanica",725,578,578,555,555
"350","Oenanthe isabellina",468,468,468,468,468
"351","Petronia petronia",656,643,643,634,634
"352","Phylloscopus sindianus",40,40,40,40,40
"353","Plecotus macrobullaris",239,239,239,237,237
"354","Rhinolophus mehelyi",367,360,360,354,354
"355","Rupicapra rupicapra",253,168,168,157,157
"356","Serinus pusillus",36,36,36,36,36
"357","Sicista strandi",327,318,318,313,313
"358","Tadorna ferruginea",652,652,652,652,652
"359","Talpa levantis",77,77,77,77,77
"360","Tetraogallus caucasicus",30,30,30,30,30
"361","Vormela peregusna",396,396,396,396,396
"362","Acrocephalus paludicola",129,128,128,128,128
"363","Aythya nyroca",1785,1781,1781,1776,1776
"364","Chlidonias hybrida",500,496,496,489,489
"365","Locustella luscinioides",1798,1771,1771,1756,1756
"366","Microtus oeconomus",2041,2041,2041,2040,2040
"367","Muscardinus avellanarius",1694,1334,1334,1256,1256
"368","Panurus biarmicus",1211,1195,1195,1174,1174
"369","Accipiter brevipes",688,688,688,688,688
"370","Allactaga major",783,783,783,783,783
"371","Anthropoides virgo",413,413,413,413,413
"372","Capreolus pygargus",393,393,393,393,393
"373","Circus macrourus",1106,1104,1104,1104,1104
"374","Cricetus cricetus",1078,1078,1078,1078,1078
"375","Cuculus saturatus",803,803,803,803,803
"376","Dendrocopos syriacus",832,830,721,830,691
"377","Desmana moschata",543,543,543,543,543
"378","Emberiza aureola",1089,1086,1086,1086,1086
"379","Ficedula albicollis",1150,1141,1141,1136,1136
"380","Glareola nordmanni",512,512,512,512,512
"381","Lagurus lagurus",557,557,557,557,557
"382","Mustela lutreola",324,324,324,324,324
"383","Oenanthe pleschanka",520,520,520,520,520
"384","Otis tarda",695,684,684,680,680
"385","Pygeretmus pumilio",183,151,151,140,140
"386","Sicista subtilis",294,294,294,294,294
"387","Spalax microphthalmus",352,24,24,17,17
"388","Spermophilus pygmaeus",369,369,369,369,369
"389","Spermophilus suslicus",398,263,263,232,232
"390","Tetrax tetrax",1002,849,849,834,834
"391","Tringa stagnatilis",943,939,939,936,936
"392","Ellobius talpinus",417,304,304,290,290
"393","Myodes rufocanus",966,966,966,966,966
"394","Myodes rutilus",1016,1016,1016,1016,1016
"395","Oxyura leucocephala",225,225,225,225,225
"396","Perisoreus infaustus",1127,1127,1127,1127,1127
"397","Pinicola enucleator",1190,1189,1189,1189,1189
"398","Prunella atrogularis",105,105,105,105,105
"399","Recurvirostra avosetta",813,812,812,810,810
"400","Sorex isodon",992,990,990,989,989
"401","Sorex minutissimus",1422,1419,1419,1418,1418
"402","Sorex tundrensis",250,247,247,247,247
"403","Spermophilus major",175,6,6,6,6
"404","Surnia ulula",1345,1345,1345,1345,1345
"405","Tarsiger cyanurus",330,330,330,330,330
"406","Calidris temminckii",528,528,528,528,528
"407","Falco rusticolus",975,975,975,974,974
"408","Gulo gulo",906,905,905,905,905
"409","Lemmus lemmus",397,397,397,397,397
"410","Anser erythropus",641,636,636,634,634
"411","Emberiza pusilla",710,710,710,710,710
"412","Emberiza rustica",929,927,927,927,927
"413","Loxia leucoptera",721,721,721,720,720
"414","Mus musculus",97,97,97,97,97
"415","Myopus schisticolor",825,825,825,825,825
"416","Phylloscopus borealis",707,706,706,705,705
"417","Strix nebulosa",1191,1191,1191,1191,1191
"418","Tringa erythropus",671,645,645,634,634
"419","Alectoris graeca",340,340,340,340,340
"420","Emberiza melanocephala",439,437,437,435,435
"421","Acrocephalus agricola",323,323,323,323,323
"422","Acrocephalus melanopogon",678,675,675,675,675
"423","Allactaga elater",86,86,86,86,86
"424","Aquila nipalensis",290,290,290,290,290
"425","Bubulcus ibis",336,335,335,334,334
"426","Emberiza bruniceps",31,31,31,31,31
"427","Felis chaus",67,67,67,67,67
"428","Gelochelidon nilotica",488,435,435,425,425
"429","Glareola pratincola",339,335,335,333,333
"430","Hemiechinus auritus",207,207,207,207,207
"431","Meriones meridianus",80,80,80,80,80
"432","Meriones tamariscinus",78,78,78,78,78
"433","Microtus socialis",160,160,160,160,160
"434","Netta rufina",611,604,604,603,603
"435","Pelecanus crispus",174,174,174,174,174
"436","Platalea leucorodia",382,378,378,377,377
"437","Plegadis falcinellus",305,305,305,305,305
"438","Porphyrio porphyrio",126,126,126,126,126
"439","Stylodipus telum",120,120,120,119,119
"440","Sylvia mystacea",57,57,57,57,57
"441","Vulpes corsac",279,279,279,279,279
"442","Mus spicilegus",432,432,432,432,432
"443","Spermophilus citellus",250,245,245,243,243
"444","Marmota bobak",135,135,135,135,135
"445","Spermophilus fulvus",94,94,94,94,94
"446","Apus pallidus",406,399,399,398,398
"447","Falco biarmicus",193,191,191,190,190
"448","Hystrix cristata",122,122,122,122,122
"449","Microtus savii",147,145,145,143,143
"450","Myotis capaccinii",539,459,459,430,430
"451","Passer italiae",197,197,197,197,197
"452","Sorex antinorii",162,34,34,30,30
"453","Sorex samniticus",93,20,20,20,20
"454","Sylvia cantillans",625,618,618,616,616
"455","Sylvia conspicillata",334,331,331,329,329
"456","Sylvia hortensis",364,363,363,363,363
"457","Sylvia melanocephala",702,686,686,677,677
"458","Talpa caeca",158,94,94,86,86
"459","Talpa romana",64,17,17,17,17
"460","Sicista severtzovi",187,185,185,184,184
"461","Pelecanus onocrotalus",114,114,114,114,114
"462","Saiga tatarica",47,47,47,47,47
"463","Falco eleonorae",83,83,83,83,83
"464","Anthus cervinus",299,284,284,284,284
"465","Apodemus epimelas",133,132,132,132,132
"466","Cercotrichas galactotes",235,223,223,212,212
"467","Emberiza caesia",147,146,146,146,146
"468","Hippolais olivetorum",139,138,138,138,138
"469","Microtus guentheri",70,70,70,70,70
"470","Microtus thomasi",83,83,83,83,83
"471","Mus macedonicus",127,127,127,127,127
"472","Passer hispaniolensis",376,376,376,376,376
"473","Plecotus kolombatovici",88,85,85,77,77
"474","Rhinolophus blasii",225,32,32,30,30
"475","Sitta neumayer",157,156,156,156,156
"476","Locustella lanceolata",385,385,385,385,385
"477","Sorex alpinus",292,10,10,7,7
"478","Apodemus alpicola",72,72,72,72,72
"479","Capra ibex",61,40,40,40,40
"480","Calidris alba",404,399,399,397,397
"481","Polysticta stelleri",163,163,163,163,163
"482","Spalax graecus",39,0,0,0,0
"483","Caprimulgus ruficollis",202,200,200,200,200
"484","Elanus caeruleus",93,80,80,76,76
"485","Galerida theklae",228,227,227,227,227
"486","Herpestes ichneumon",113,109,109,108,108
"487","Lepus granatensis",233,232,232,231,231
"488","Microtus cabrerae",90,87,87,86,86
"489","Mus spretus",277,277,277,277,277
"490","Sturnus unicolor",322,314,314,309,309
"491","Talpa occidentalis",229,119,119,92,92
"492","Branta bernicla",356,355,355,355,355
"493","Anthus hodgsoni",135,135,135,135,135
"494","Emberiza leucocephalos",98,98,98,98,98
"495","Martes zibellina",122,122,122,122,122
"496","Mustela sibirica",70,70,70,70,70
"497","Phylloscopus inornatus",71,71,71,71,71
"498","Lepus corsicanus",58,58,58,58,58
"499","Microtus brachycercus",49,47,47,47,47
"500","Microtus multiplex",81,58,58,53,53
"501","Capra pyrenaica",86,79,79,75,75
"502","Lepus castroviejoi",11,11,11,11,11
"503","Sorex granarius",63,32,32,27,27
"504","Dinaromys bogdanovi",56,54,54,54,54
"505","Microtus felteni",34,34,34,34,34
"506","Talpa stankovici",40,22,22,21,21
"507","Marmaronetta angustirostris",146,146,146,146,146
"508","Gallinago stenura",115,115,115,115,115
"509","Microtus gregalis",145,145,145,145,145
"510","Prunella montanella",85,85,85,85,85
"511","Spalax zemni",92,0,0,0,0
"512","Allocricetulus eversmanni",145,145,145,145,145
"513","Alectoris barbara",23,23,23,23,23
"514","Aquila adalberti",77,77,77,76,76
"515","Fulica cristata",16,10,10,10,10
"516","Spalax arenarius",7,1,1,1,1
"517","Vanellus gregarius",28,28,28,28,28
"518","Myotis punicus",31,31,31,31,31
"519","Sitta whiteheadi",6,6,6,6,6
"520","Sylvia sarda",34,34,34,34,34
"521","Microtus middendorffii",41,41,41,41,41
"522","Chersophilus duponti",62,62,62,62,62
"523","Lanius nubicus",70,62,62,62,62
"524","Emberiza pallasi",22,22,22,22,22
"525","Crocidura pachyura",23,23,23,22,22
"526","Lepus capensis",22,22,22,22,22
"527","Plecotus sardus",20,20,20,20,20
"528","Crocidura sicula",26,26,26,26,26
"529","Mesocricetus newtoni",33,33,33,33,33
"530","Eptesicus bottae",21,21,21,21,21
"531","Erinaceus concolor",28,28,28,28,28
"532","Meriones tristrami",6,6,6,6,6
"533","Oenanthe finschii",2,2,2,2,2
"534","Sciurus anomalus",25,25,25,25,25
"535","Dipus sagitta",51,51,51,50,50
"536","Bucanetes githagineus",17,17,17,17,17
